game_id,date,team1,team2,team1_score,team2_score,winner,loser,environment,game_type,team1_pitcher,team2_pitcher,team1_hits,team1_home_runs,team1_errors,team1_batting_avg,team2_hits,team2_home_runs,team2_errors,team2_batting_avg,team1_pitcher_era,team1_pitcher_strikeouts,team2_pitcher_era,team2_pitcher_strikeouts,attendance,game_duration,temperature,wind_speed
San Francisco Giants_Chicago White Sox_20240830,2024-08-30T00:00:00,San Francisco Giants,Chicago White Sox,2,3,Chicago White Sox,San Francisco Giants,away,regular,Camilo Doval,Chicago White Sox #2,3,1,0,0.243,7,0,0,0.309,7.28,15,4.69,3,24037,218,93,11
Washington Nationals_Baltimore Orioles_20240918,2024-09-18T00:00:00,Washington Nationals,Baltimore Orioles,0,4,Baltimore Orioles,Washington Nationals,home,interleague,Washington Nationals Closer,Baltimore Orioles Ace,1,1,0,0.244,6,2,0,0.306,5.75,11,4.59,3,19838,188,89,14
Pittsburgh Pirates_San Diego Padres_20240516,2024-05-16T00:00:00,Pittsburgh Pirates,San Diego Padres,3,5,San Diego Padres,Pittsburgh Pirates,away,regular,Pittsburgh Pirates Ace,Josh Hader,3,2,0,0.287,9,2,0,0.308,7.05,5,2.75,14,36881,227,91,9
New York Mets_Baltimore Orioles_20240628,2024-06-28T00:00:00,New York Mets,Baltimore Orioles,8,6,New York Mets,Baltimore Orioles,home,regular,David Robertson,Baltimore Orioles #2,7,4,0,0.27,8,2,0,0.289,3.98,6,5.68,13,20585,240,66,14
Miami Marlins_Houston Astros_20240531,2024-05-31T00:00:00,Miami Marlins,Houston Astros,3,4,Houston Astros,Miami Marlins,home,regular,Miami Marlins #3,Cristian Javier,7,1,0,0.301,8,2,0,0.307,7.1,10,2.24,7,39641,197,82,0
Tampa Bay Rays_Colorado Rockies_20240512,2024-05-12T00:00:00,Tampa Bay Rays,Colorado Rockies,6,5,Tampa Bay Rays,Colorado Rockies,neutral,regular,Shane McClanahan,Colorado Rockies #2,7,4,0,0.278,9,3,0,0.289,3.89,3,6.9,4,42623,197,74,8
Kansas City Royals_Washington Nationals_20240507,2024-05-07T00:00:00,Kansas City Royals,Washington Nationals,4,3,Kansas City Royals,Washington Nationals,home,regular,Kansas City Royals #3,Washington Nationals Closer,2,0,0,0.238,4,1,0,0.32,4.8,9,8.17,7,45852,163,73,14
Arizona Diamondbacks_Detroit Tigers_20240820,2024-08-20T00:00:00,Arizona Diamondbacks,Detroit Tigers,5,3,Arizona Diamondbacks,Detroit Tigers,away,division,Arizona Diamondbacks Closer,Detroit Tigers #3,3,0,0,0.271,3,0,0,0.298,4.01,6,5.64,9,41417,156,76,4
San Diego Padres_Boston Red Sox_20240725,2024-07-25T00:00:00,San Diego Padres,Boston Red Sox,8,7,San Diego Padres,Boston Red Sox,home,regular,Josh Hader,Nick Pivetta,8,4,0,0.296,10,1,0,0.306,3.98,15,4.31,12,31289,220,65,3
Miami Marlins_Los Angeles Dodgers_20240917,2024-09-17T00:00:00,Miami Marlins,Los Angeles Dodgers,4,7,Los Angeles Dodgers,Miami Marlins,home,division,Miami Marlins Closer,Evan Phillips,7,1,0,0.296,6,3,0,0.265,7.2,5,3.4,6,39687,183,68,6
Chicago Cubs_Boston Red Sox_20240803,2024-08-03T00:00:00,Chicago Cubs,Boston Red Sox,5,2,Chicago Cubs,Boston Red Sox,home,regular,Chicago Cubs Ace,Brayan Bello,8,0,0,0.268,3,0,0,0.274,3.02,10,6.17,15,42989,190,65,5
Oakland Athletics_Texas Rangers_20240704,2024-07-04T00:00:00,Oakland Athletics,Texas Rangers,4,1,Oakland Athletics,Texas Rangers,home,division,Oakland Athletics #2,Texas Rangers #3,3,1,3,0.315,3,0,1,0.254,4.76,11,6.52,12,17762,225,71,13
Atlanta Braves_Pittsburgh Pirates_20240824,2024-08-24T00:00:00,Atlanta Braves,Pittsburgh Pirates,4,3,Atlanta Braves,Pittsburgh Pirates,home,regular,Max Fried,Pittsburgh Pirates Closer,2,1,0,0.306,4,0,3,0.256,2.49,7,8.63,7,25954,198,91,8
Baltimore Orioles_Los Angeles Dodgers_20240610,2024-06-10T00:00:00,Baltimore Orioles,Los Angeles Dodgers,4,3,Baltimore Orioles,Los Angeles Dodgers,home,division,Baltimore Orioles Closer,Evan Phillips,3,1,2,0.292,3,2,0,0.304,5.21,10,3.54,12,41988,180,94,12
Atlanta Braves_San Diego Padres_20240522,2024-05-22T00:00:00,Atlanta Braves,San Diego Padres,6,5,Atlanta Braves,San Diego Padres,home,regular,A.J. Minter,Blake Snell,4,0,0,0.224,8,0,0,0.288,2.31,7,5.47,12,24718,226,78,2
San Diego Padres_Detroit Tigers_20240822,2024-08-22T00:00:00,San Diego Padres,Detroit Tigers,6,4,San Diego Padres,Detroit Tigers,home,interleague,Yu Darvish,Detroit Tigers Ace,8,3,3,0.234,2,2,0,0.305,2.92,4,6.73,4,45641,235,73,10
Colorado Rockies_Houston Astros_20240923,2024-09-23T00:00:00,Colorado Rockies,Houston Astros,3,4,Houston Astros,Colorado Rockies,neutral,regular,Colorado Rockies #3,Ryan Pressly,5,1,0,0.292,7,0,0,0.25,6.55,3,2.95,13,23265,207,83,0
Seattle Mariners_Los Angeles Dodgers_20240504,2024-05-04T00:00:00,Seattle Mariners,Los Angeles Dodgers,3,5,Los Angeles Dodgers,Seattle Mariners,home,regular,Paul Sewald,Julio Urias,4,2,0,0.275,3,2,0,0.272,5.33,4,2.82,12,23732,157,73,5
Toronto Blue Jays_Colorado Rockies_20240415,2024-04-15T00:00:00,Toronto Blue Jays,Colorado Rockies,4,3,Toronto Blue Jays,Colorado Rockies,home,regular,Jose Berrios,Colorado Rockies Ace,8,0,0,0.25,4,1,0,0.315,3.07,3,7.81,6,36854,169,83,1
Oakland Athletics_Cincinnati Reds_20240604,2024-06-04T00:00:00,Oakland Athletics,Cincinnati Reds,6,3,Oakland Athletics,Cincinnati Reds,home,regular,Oakland Athletics Ace,Cincinnati Reds Closer,10,2,0,0.247,7,2,0,0.22,4.67,11,6.72,14,44446,190,86,7
Arizona Diamondbacks_Los Angeles Dodgers_20240822,2024-08-22T00:00:00,Arizona Diamondbacks,Los Angeles Dodgers,2,9,Los Angeles Dodgers,Arizona Diamondbacks,away,regular,Arizona Diamondbacks Ace,Evan Phillips,3,1,0,0.318,8,1,0,0.246,6.48,6,2.73,9,21308,191,79,10
Texas Rangers_Minnesota Twins_20240403,2024-04-03T00:00:00,Texas Rangers,Minnesota Twins,7,6,Texas Rangers,Minnesota Twins,home,regular,Texas Rangers #3,Minnesota Twins Closer,6,0,3,0.263,5,2,2,0.228,3.47,6,4.91,3,46216,229,78,7
St. Louis Cardinals_Washington Nationals_20240513,2024-05-13T00:00:00,St. Louis Cardinals,Washington Nationals,2,4,Washington Nationals,St. Louis Cardinals,home,regular,Jack Flaherty,Washington Nationals #2,1,1,0,0.24,2,1,0,0.308,7.4,9,3.51,3,19978,227,76,12
Oakland Athletics_Arizona Diamondbacks_20240610,2024-06-10T00:00:00,Oakland Athletics,Arizona Diamondbacks,4,2,Oakland Athletics,Arizona Diamondbacks,home,regular,Oakland Athletics #3,Arizona Diamondbacks Closer,5,3,0,0.226,4,0,0,0.24,4.36,3,5.15,10,31964,223,77,4
Colorado Rockies_Minnesota Twins_20240514,2024-05-14T00:00:00,Colorado Rockies,Minnesota Twins,5,6,Minnesota Twins,Colorado Rockies,neutral,regular,Colorado Rockies Closer,Minnesota Twins #3,6,1,1,0.295,4,0,0,0.309,8.15,3,3.78,11,44984,233,93,9
Cincinnati Reds_Boston Red Sox_20240524,2024-05-24T00:00:00,Cincinnati Reds,Boston Red Sox,3,2,Cincinnati Reds,Boston Red Sox,home,regular,Cincinnati Reds #3,Brayan Bello,3,2,0,0.315,4,0,0,0.233,4.27,3,5.51,3,17000,219,77,5
Los Angeles Angels_New York Yankees_20240619,2024-06-19T00:00:00,Los Angeles Angels,New York Yankees,1,4,New York Yankees,Los Angeles Angels,home,regular,Los Angeles Angels Ace,Clay Holmes,2,1,0,0.242,5,0,0,0.256,6.44,4,2.32,5,18109,218,73,6
Atlanta Braves_Milwaukee Brewers_20240824,2024-08-24T00:00:00,Atlanta Braves,Milwaukee Brewers,2,6,Milwaukee Brewers,Atlanta Braves,home,regular,Spencer Strider,Corbin Burnes,6,2,0,0.247,8,1,0,0.26,4.33,3,2.89,4,20876,217,70,7
San Diego Padres_St. Louis Cardinals_20240523,2024-05-23T00:00:00,San Diego Padres,St. Louis Cardinals,3,4,St. Louis Cardinals,San Diego Padres,home,regular,Josh Hader,Ryan Helsley,6,1,0,0.25,8,1,0,0.249,5.98,10,3.85,5,43246,211,74,8
New York Mets_Houston Astros_20240418,2024-04-18T00:00:00,New York Mets,Houston Astros,7,8,Houston Astros,New York Mets,home,regular,David Robertson,Ryan Pressly,6,3,0,0.275,12,1,0,0.227,4.69,5,2.76,9,30311,231,81,10
Seattle Mariners_Cleveland Guardians_20240730,2024-07-30T00:00:00,Seattle Mariners,Cleveland Guardians,5,6,Cleveland Guardians,Seattle Mariners,home,regular,George Kirby,Cleveland Guardians Ace,7,1,0,0.253,7,1,0,0.234,5.1,9,4.71,10,18053,181,89,15
Houston Astros_Atlanta Braves_20240718,2024-07-18T00:00:00,Houston Astros,Atlanta Braves,4,0,Houston Astros,Atlanta Braves,home,regular,Cristian Javier,Charlie Morton,5,3,0,0.249,1,1,0,0.239,3.02,3,4.7,14,48902,193,81,12
Los Angeles Dodgers_Milwaukee Brewers_20240426,2024-04-26T00:00:00,Los Angeles Dodgers,Milwaukee Brewers,6,4,Los Angeles Dodgers,Milwaukee Brewers,home,regular,Walker Buehler,Josh Hader,6,0,0,0.311,6,0,0,0.292,2.48,7,4.38,6,36616,172,73,11
Miami Marlins_Toronto Blue Jays_20240403,2024-04-03T00:00:00,Miami Marlins,Toronto Blue Jays,3,4,Toronto Blue Jays,Miami Marlins,away,regular,Miami Marlins Closer,Kevin Gausman,7,0,0,0.227,8,3,1,0.273,6.24,12,3.28,5,40679,196,75,8
Oakland Athletics_Cincinnati Reds_20240927,2024-09-27T00:00:00,Oakland Athletics,Cincinnati Reds,0,4,Cincinnati Reds,Oakland Athletics,away,regular,Oakland Athletics #2,Cincinnati Reds #2,1,1,0,0.284,4,2,0,0.25,8.21,7,4.77,11,48420,205,84,4
St. Louis Cardinals_Atlanta Braves_20240505,2024-05-05T00:00:00,St. Louis Cardinals,Atlanta Braves,3,4,Atlanta Braves,St. Louis Cardinals,home,regular,Jordan Montgomery,Spencer Strider,6,1,0,0.262,4,2,0,0.229,5.68,3,2.92,14,44712,175,80,11
New York Mets_Los Angeles Dodgers_20240907,2024-09-07T00:00:00,New York Mets,Los Angeles Dodgers,5,6,Los Angeles Dodgers,New York Mets,home,regular,David Robertson,Tony Gonsolin,9,1,0,0.225,10,4,0,0.291,4.39,12,2.79,15,46761,237,79,12
Houston Astros_Pittsburgh Pirates_20240619,2024-06-19T00:00:00,Houston Astros,Pittsburgh Pirates,5,3,Houston Astros,Pittsburgh Pirates,away,division,Justin Verlander,Pittsburgh Pirates #3,3,1,0,0.272,7,1,0,0.274,3.3,14,6.39,5,33259,184,72,15
Cincinnati Reds_Kansas City Royals_20240820,2024-08-20T00:00:00,Cincinnati Reds,Kansas City Royals,4,2,Cincinnati Reds,Kansas City Royals,home,regular,Cincinnati Reds #3,Kansas City Royals #2,7,0,0,0.234,5,1,0,0.306,3.87,6,5.8,5,19599,152,86,8
St. Louis Cardinals_Arizona Diamondbacks_20240814,2024-08-14T00:00:00,St. Louis Cardinals,Arizona Diamondbacks,5,6,Arizona Diamondbacks,St. Louis Cardinals,home,regular,Jack Flaherty,Arizona Diamondbacks #3,7,3,0,0.268,7,3,3,0.222,5.82,14,3.32,5,31463,186,68,0
New York Yankees_Los Angeles Dodgers_20240413,2024-04-13T00:00:00,New York Yankees,Los Angeles Dodgers,3,5,Los Angeles Dodgers,New York Yankees,home,regular,Nestor Cortes,Tony Gonsolin,6,1,0,0.306,3,1,0,0.304,5.38,7,2.9,5,44444,178,76,13
Detroit Tigers_Miami Marlins_20240512,2024-05-12T00:00:00,Detroit Tigers,Miami Marlins,4,5,Miami Marlins,Detroit Tigers,home,regular,Detroit Tigers Ace,Miami Marlins #3,7,2,0,0.293,4,0,0,0.268,6.78,14,3.46,6,34748,186,88,11
Colorado Rockies_Toronto Blue Jays_20240710,2024-07-10T00:00:00,Colorado Rockies,Toronto Blue Jays,3,5,Toronto Blue Jays,Colorado Rockies,neutral,regular,Colorado Rockies #2,Jordan Romano,3,2,0,0.3,9,2,0,0.242,5.71,11,3.48,5,48998,240,95,0
Pittsburgh Pirates_Chicago Cubs_20240729,2024-07-29T00:00:00,Pittsburgh Pirates,Chicago Cubs,3,2,Pittsburgh Pirates,Chicago Cubs,home,regular,Pittsburgh Pirates Ace,Chicago Cubs #3,6,0,0,0.27,1,2,0,0.25,3.7,4,7.27,9,22439,172,89,8
New York Yankees_Seattle Mariners_20240615,2024-06-15T00:00:00,New York Yankees,Seattle Mariners,5,4,New York Yankees,Seattle Mariners,home,regular,Carlos Rodon,Logan Gilbert,7,1,0,0.263,3,1,1,0.256,2.36,11,5.83,12,41067,217,65,8
Arizona Diamondbacks_Colorado Rockies_20240802,2024-08-02T00:00:00,Arizona Diamondbacks,Colorado Rockies,3,4,Colorado Rockies,Arizona Diamondbacks,home,regular,Arizona Diamondbacks Closer,Colorado Rockies Closer,2,0,0,0.308,4,0,0,0.258,7.59,3,4.36,12,26023,228,68,1
Seattle Mariners_Texas Rangers_20240624,2024-06-24T00:00:00,Seattle Mariners,Texas Rangers,5,4,Seattle Mariners,Texas Rangers,home,division,George Kirby,Texas Rangers #2,7,0,0,0.223,7,0,3,0.242,4.17,5,4.85,3,24357,200,87,3
Chicago White Sox_Los Angeles Dodgers_20240707,2024-07-07T00:00:00,Chicago White Sox,Los Angeles Dodgers,5,2,Chicago White Sox,Los Angeles Dodgers,home,regular,Chicago White Sox #3,Walker Buehler,5,2,0,0.249,1,2,0,0.235,3.62,10,4.59,15,27436,185,67,12
Texas Rangers_Houston Astros_20240519,2024-05-19T00:00:00,Texas Rangers,Houston Astros,2,5,Houston Astros,Texas Rangers,away,division,Texas Rangers Ace,Ryan Pressly,2,0,0,0.307,7,1,0,0.317,7.23,3,2.62,13,15988,175,79,8
Cleveland Guardians_Baltimore Orioles_20240618,2024-06-18T00:00:00,Cleveland Guardians,Baltimore Orioles,5,7,Baltimore Orioles,Cleveland Guardians,away,regular,Cleveland Guardians #3,Baltimore Orioles Ace,3,2,0,0.23,8,0,0,0.304,6.61,8,3.69,3,30360,190,85,15
Houston Astros_Washington Nationals_20240531,2024-05-31T00:00:00,Houston Astros,Washington Nationals,5,4,Houston Astros,Washington Nationals,home,regular,Framber Valdez,Washington Nationals #3,9,1,0,0.251,3,3,0,0.292,3.04,7,5.66,7,40740,159,76,14
San Francisco Giants_Kansas City Royals_20240605,2024-06-05T00:00:00,San Francisco Giants,Kansas City Royals,3,2,San Francisco Giants,Kansas City Royals,away,regular,Jakob Junis,Kansas City Royals #2,4,0,0,0.221,2,2,0,0.283,3.7,7,6.43,6,42703,239,65,11
Colorado Rockies_Milwaukee Brewers_20240615,2024-06-15T00:00:00,Colorado Rockies,Milwaukee Brewers,3,4,Milwaukee Brewers,Colorado Rockies,home,regular,Colorado Rockies #2,Eric Lauer,7,1,0,0.297,8,3,0,0.251,6.55,6,3.92,7,27597,172,78,10
Arizona Diamondbacks_Milwaukee Brewers_20240715,2024-07-15T00:00:00,Arizona Diamondbacks,Milwaukee Brewers,6,3,Arizona Diamondbacks,Milwaukee Brewers,home,regular,Arizona Diamondbacks #3,Eric Lauer,6,2,0,0.27,4,2,0,0.266,3.3,6,4.2,7,19077,156,94,4
Kansas City Royals_Chicago Cubs_20240807,2024-08-07T00:00:00,Kansas City Royals,Chicago Cubs,1,6,Chicago Cubs,Kansas City Royals,away,regular,Kansas City Royals #3,Chicago Cubs Ace,4,1,0,0.24,10,2,0,0.283,5.79,10,3.92,9,31574,223,82,2
Tampa Bay Rays_Milwaukee Brewers_20240722,2024-07-22T00:00:00,Tampa Bay Rays,Milwaukee Brewers,3,4,Milwaukee Brewers,Tampa Bay Rays,home,regular,Pete Fairbanks,Eric Lauer,3,0,0,0.23,7,0,0,0.308,5.63,10,3.29,3,45550,155,65,12
Atlanta Braves_Kansas City Royals_20240718,2024-07-18T00:00:00,Atlanta Braves,Kansas City Royals,6,3,Atlanta Braves,Kansas City Royals,home,regular,Max Fried,Kansas City Royals Ace,6,1,0,0.23,2,1,0,0.256,2.8,13,7.09,7,20525,204,86,8
Atlanta Braves_New York Mets_20240524,2024-05-24T00:00:00,Atlanta Braves,New York Mets,6,4,Atlanta Braves,New York Mets,home,division,Charlie Morton,Max Scherzer,10,2,0,0.303,5,2,0,0.234,3.2,12,4.24,13,40131,217,78,14
Texas Rangers_Milwaukee Brewers_20240623,2024-06-23T00:00:00,Texas Rangers,Milwaukee Brewers,3,5,Milwaukee Brewers,Texas Rangers,home,regular,Texas Rangers #2,Brandon Woodruff,5,2,0,0.236,4,1,0,0.29,6.53,12,3.31,15,34769,191,83,10
Chicago White Sox_Washington Nationals_20240702,2024-07-02T00:00:00,Chicago White Sox,Washington Nationals,2,0,Chicago White Sox,Washington Nationals,away,regular,Chicago White Sox Ace,Washington Nationals Ace,4,0,0,0.274,1,0,0,0.273,4.78,12,5.91,3,29053,150,70,14
Kansas City Royals_Minnesota Twins_20240727,2024-07-27T00:00:00,Kansas City Royals,Minnesota Twins,2,3,Minnesota Twins,Kansas City Royals,home,division,Kansas City Royals #3,Minnesota Twins #2,1,1,0,0.289,3,1,0,0.302,5.96,15,3.15,3,19797,186,77,5
Baltimore Orioles_Chicago White Sox_20240401,2024-04-01T00:00:00,Baltimore Orioles,Chicago White Sox,2,4,Chicago White Sox,Baltimore Orioles,home,division,Baltimore Orioles Closer,Chicago White Sox Closer,2,1,0,0.265,8,2,1,0.306,6.24,8,4.76,6,47034,225,71,4
Cincinnati Reds_New York Yankees_20240422,2024-04-22T00:00:00,Cincinnati Reds,New York Yankees,2,5,New York Yankees,Cincinnati Reds,home,regular,Cincinnati Reds Closer,Gerrit Cole,5,0,0,0.309,4,2,0,0.303,6.0,12,3.25,10,39963,204,74,7
Seattle Mariners_Kansas City Royals_20240609,2024-06-09T00:00:00,Seattle Mariners,Kansas City Royals,6,3,Seattle Mariners,Kansas City Royals,home,regular,Logan Gilbert,Kansas City Royals Ace,5,1,0,0.229,5,1,2,0.223,4.03,13,6.17,8,33875,171,82,10
San Francisco Giants_Atlanta Braves_20240503,2024-05-03T00:00:00,San Francisco Giants,Atlanta Braves,6,8,Atlanta Braves,San Francisco Giants,home,regular,Logan Webb,Max Fried,5,4,0,0.242,6,5,1,0.304,5.37,4,2.34,8,18895,157,82,7
Kansas City Royals_Miami Marlins_20240730,2024-07-30T00:00:00,Kansas City Royals,Miami Marlins,1,3,Miami Marlins,Kansas City Royals,away,regular,Kansas City Royals Closer,Miami Marlins #3,1,1,0,0.302,3,2,0,0.279,6.89,8,3.12,14,20081,167,78,3
New York Mets_Philadelphia Phillies_20240426,2024-04-26T00:00:00,New York Mets,Philadelphia Phillies,6,5,New York Mets,Philadelphia Phillies,away,regular,Max Scherzer,Jose Alvarado,10,2,0,0.294,8,1,1,0.271,2.94,12,5.97,5,39936,226,67,7
Cincinnati Reds_Chicago Cubs_20240504,2024-05-04T00:00:00,Cincinnati Reds,Chicago Cubs,1,3,Chicago Cubs,Cincinnati Reds,home,division,Cincinnati Reds #2,Chicago Cubs Ace,1,1,3,0.311,1,0,0,0.249,7.57,15,3.72,12,18077,180,74,8
Miami Marlins_Oakland Athletics_20240422,2024-04-22T00:00:00,Miami Marlins,Oakland Athletics,5,3,Miami Marlins,Oakland Athletics,home,regular,Miami Marlins #2,Oakland Athletics Ace,7,0,0,0.276,6,2,0,0.309,4.01,3,6.38,15,22291,233,89,0
Minnesota Twins_Cincinnati Reds_20240702,2024-07-02T00:00:00,Minnesota Twins,Cincinnati Reds,5,3,Minnesota Twins,Cincinnati Reds,away,regular,Minnesota Twins Ace,Cincinnati Reds #3,3,2,0,0.277,7,1,0,0.286,3.97,9,8.27,14,18276,231,90,11
Baltimore Orioles_Tampa Bay Rays_20240515,2024-05-15T00:00:00,Baltimore Orioles,Tampa Bay Rays,4,3,Baltimore Orioles,Tampa Bay Rays,away,regular,Baltimore Orioles #3,Tyler Glasnow,3,1,0,0.245,4,0,3,0.246,4.88,8,5.86,6,15447,187,73,4
St. Louis Cardinals_Chicago Cubs_20240923,2024-09-23T00:00:00,St. Louis Cardinals,Chicago Cubs,3,4,Chicago Cubs,St. Louis Cardinals,home,regular,Andre Pallante,Chicago Cubs Ace,3,2,2,0.308,6,3,0,0.289,5.52,6,4.22,10,25230,202,76,6
Houston Astros_Oakland Athletics_20240807,2024-08-07T00:00:00,Houston Astros,Oakland Athletics,5,6,Oakland Athletics,Houston Astros,away,regular,Ryan Pressly,Oakland Athletics #3,8,3,0,0.318,10,3,0,0.239,4.85,15,5.09,3,34341,205,78,11
Houston Astros_New York Yankees_20240901,2024-09-01T00:00:00,Houston Astros,New York Yankees,5,4,Houston Astros,New York Yankees,home,regular,Framber Valdez,Carlos Rodon,4,1,0,0.236,2,1,0,0.319,2.73,4,4.89,7,17825,188,84,15
Toronto Blue Jays_Cleveland Guardians_20240603,2024-06-03T00:00:00,Toronto Blue Jays,Cleveland Guardians,4,5,Cleveland Guardians,Toronto Blue Jays,home,regular,Jose Berrios,Cleveland Guardians Ace,2,1,0,0.315,4,0,0,0.29,6.62,7,3.03,7,29414,172,94,14
Chicago Cubs_Minnesota Twins_20240917,2024-09-17T00:00:00,Chicago Cubs,Minnesota Twins,4,5,Minnesota Twins,Chicago Cubs,home,regular,Chicago Cubs Closer,Minnesota Twins Closer,3,2,1,0.269,9,0,0,0.277,5.55,4,4.41,13,30128,209,93,14
New York Mets_Tampa Bay Rays_20240414,2024-04-14T00:00:00,New York Mets,Tampa Bay Rays,6,4,New York Mets,Tampa Bay Rays,home,regular,Jacob deGrom,Shane McClanahan,4,1,0,0.246,6,2,0,0.301,2.82,13,5.8,9,28091,165,66,6
Texas Rangers_Cincinnati Reds_20240512,2024-05-12T00:00:00,Texas Rangers,Cincinnati Reds,7,4,Texas Rangers,Cincinnati Reds,home,regular,Texas Rangers Ace,Cincinnati Reds Closer,5,4,0,0.221,3,1,2,0.302,3.31,12,5.6,5,49031,210,83,5
Texas Rangers_Toronto Blue Jays_20240425,2024-04-25T00:00:00,Texas Rangers,Toronto Blue Jays,2,5,Toronto Blue Jays,Texas Rangers,away,regular,Texas Rangers Closer,Jordan Romano,6,0,0,0.262,8,0,3,0.275,5.82,7,2.8,11,38044,201,85,2
San Francisco Giants_Los Angeles Dodgers_20240810,2024-08-10T00:00:00,San Francisco Giants,Los Angeles Dodgers,3,4,Los Angeles Dodgers,San Francisco Giants,home,regular,Alex Cobb,Julio Urias,3,1,0,0.248,5,2,0,0.301,4.91,12,3.16,3,41821,201,81,14
Baltimore Orioles_Philadelphia Phillies_20240806,2024-08-06T00:00:00,Baltimore Orioles,Philadelphia Phillies,1,6,Philadelphia Phillies,Baltimore Orioles,home,regular,Baltimore Orioles Closer,Aaron Nola,4,1,2,0.276,4,0,0,0.237,7.11,11,3.56,3,49612,196,92,4
Seattle Mariners_Milwaukee Brewers_20240711,2024-07-11T00:00:00,Seattle Mariners,Milwaukee Brewers,5,4,Seattle Mariners,Milwaukee Brewers,home,regular,Robbie Ray,Josh Hader,8,2,0,0.26,2,2,0,0.263,2.87,7,4.72,15,35093,183,65,6
Pittsburgh Pirates_San Diego Padres_20240705,2024-07-05T00:00:00,Pittsburgh Pirates,San Diego Padres,3,4,San Diego Padres,Pittsburgh Pirates,home,regular,Pittsburgh Pirates Ace,Joe Musgrove,7,1,0,0.282,2,3,0,0.229,5.84,4,3.58,13,19337,174,92,3
Philadelphia Phillies_Boston Red Sox_20240623,2024-06-23T00:00:00,Philadelphia Phillies,Boston Red Sox,6,4,Philadelphia Phillies,Boston Red Sox,home,regular,Zack Wheeler,Chris Sale,6,0,0,0.318,6,1,0,0.315,3.52,13,5.78,5,27670,187,70,2
Pittsburgh Pirates_Chicago White Sox_20240510,2024-05-10T00:00:00,Pittsburgh Pirates,Chicago White Sox,3,2,Pittsburgh Pirates,Chicago White Sox,home,regular,Pittsburgh Pirates Ace,Chicago White Sox Closer,7,1,0,0.231,5,0,0,0.247,4.25,14,6.74,14,24851,238,70,10
